categrie,run_id,created_at,gpu_carbon_powermetrics_component,energy_impact_powermetrics_vm,cores_power_powermetrics_component,disk_total_byteswritten_powermetrics_vm,disk_total_bytesread_powermetrics_vm,embodied_carbon_share_machine,cpu_time_powermetrics_vm,phase_time_syscall_system,gpu_power_powermetrics_component,cpu_utilization_mach_system,disk_io_bytesread_powermetrics_vm,cores_carbon_powermetrics_component,gpu_energy_powermetrics_component,cores_energy_powermetrics_component
ytb-AdBlockPlus-v2,85df1a3f-733c-4a96-87ce-3ea143f6679e,2026-03-26 21:45:39.401541+01,1,498,1296,82690048,7118848,781255,18607946898,544478363,0,265,241160,3604,8000,38841965
ytb-AdBlockPlus-v2,eb56fef6-5d10-48b3-80bc-16ad3a439ef9,2026-03-26 22:51:50.448589+01,9,477,1199,82329600,6942720,779636,18753351648,543350390,3,274,159407,3479,93990,37499002
ytb-AdBlockPlus-v2,f80ab5ec-deba-4458-bc7e-8d887128ab03,2026-03-26 23:09:11.043642+01,9,455,1149,38944768,7282688,781601,21695547390,544719449,3,406,211834,3681,101991,39676977
ytb-AdBlockPlus-v2,acc3b8d4-02a9-49d5-a037-ac819fca2140,2026-03-26 23:22:04.993358+01,7,263,714,49807360,7430144,780835,31467252123,544186095,1,311,118624,4156,73999,44790943
ytb-AdBlockPlus-v2,f4ac2913-fe3c-4d37-8a29-495d81b64f48,2026-03-26 23:34:30.150158+01,1,426,1075,78921728,7335936,781173,22123873682,544421630,0,338,209369,3498,5999,37700964
ytb-AdBlockPlus-v2,b6deb689-b9cc-4012-a40f-bc0368b30ec3,2026-03-26 23:48:18.870852+01,8,444,1130,83312640,7421952,780327,21328950810,543831801,2,290,221328,3504,86998,37764960
ytb-AdBlockPlus-v2,9e468ba1-e0fc-41ba-b166-7fd0721b56d2,2026-03-27 00:04:52.987473+01,0,437,1099,48627712,7077888,780712,20931599602,544100533,0,242,205309,3512,4000,37852991
ytb-AdBlockPlus-v2,93409329-c518-42fb-9d21-8836fe260096,2026-03-27 00:17:53.684096+01,0,498,1218,87261184,8929280,780957,19653767979,544271074,0,242,218685,3648,3999,39319975
ytb-AdBlockPlus-v2,3f5d2aa0-0b67-4e5a-b89d-00f081253b11,2026-03-27 00:35:17.289139+01,2,133,378,45318144,4640768,785276,6073385768,547280985,1,266,149172,1153,19997,12427974
ytb-AdBlockPlus-v2,220d4ec8-5797-44e1-871d-f7a8d1737ca3,2026-03-27 00:56:51.414554+01,0,485,1199,40456192,7348224,780654,19593033733,544059543,0,275,167839,3598,4000,38780956
ytb-AdBlockPlus-v2,b4c21595-ee9e-4c41-b16c-2c2942c7509b,2026-03-27 08:30:25.727868+01,1,431,1075,79986688,7352320,781130,20515779900,544391566,0,235,158472,3408,8999,36732947
ytb-AdBlockPlus-v2,56370a76-e64e-41f9-a11b-504fdc732ac4,2026-03-27 08:59:18.22243+01,0,0,0,0,0,781169,0,544418919,0,267,0,0,0,0
ytb-AdBlockPlus-v2,26d1f34e-0add-4b9f-9a35-437717c121e0,2026-03-27 09:14:59.569594+01,0,0,0,0,0,780323,0,543829318,0,242,0,0,0,0
ytb-AdBlockPlus-v2,f8238a85-071d-468d-855d-86deaeb7e229,2026-03-27 09:35:04.378693+01,0,0,0,0,0,781238,0,544466993,0,213,0,0,0,0
ytb-AdBlockPlus-v2,df4f7431-02ce-439e-bd88-e91d9e8fe367,2026-03-27 09:51:29.685417+01,0,0,0,0,0,781404,0,544582701,0,239,0,0,0,0
ytb-AdBlockPlus-v2,db374d5d-8799-4864-b7ee-a52d94c0e467,2026-03-27 10:07:30.672098+01,0,0,0,0,0,781265,0,544485798,0,238,0,0,0,0
ytb-AdBlockPlus-v2,b33ba95c-a9c3-43fc-93d3-523e0d0ddc0d,2026-03-27 10:28:51.458517+01,0,0,0,0,0,781800,0,544858393,0,233,0,0,0,0
