id,name,created_at,duration_video_s,gpu_carbon_powermetrics_component,energy_impact_powermetrics_vm,cores_power_powermetrics_component,disk_total_byteswritten_powermetrics_vm,disk_total_bytesread_powermetrics_vm,embodied_carbon_share_machine,cpu_time_powermetrics_vm,gpu_power_powermetrics_component,cpu_utilization_mach_system,disk_io_bytesread_powermetrics_vm,cores_carbon_powermetrics_component,gpu_energy_powermetrics_component,cores_energy_powermetrics_component
dbf1002e-e2ab-4eaf-b6e4-0bdbb3d58225,ytb-premium-v3,2026-04-16 10:28:49.943812+02,570.1881220000000000,0,75752,0,0,0,0,253243287040,0,3193302,1601536,0,671971,144730487
82037220-0e2b-4b92-b2e5-37163e418b11,ytb-premium-v3,2026-04-16 10:47:08.696023+02,570.5453590000000000,0,75123,0,0,0,0,250253430102,0,3326143,6451200,0,823968,168662447
db3c755d-9871-467b-b7f4-defc220ce050,ytb-premium-v3,2026-04-16 11:05:29.002968+02,570.5615960000000000,0,76661,0,0,0,0,253978354006,0,3194671,1716224,0,804960,146968492
10f3ec75-4842-4e1b-868d-d4dc2d1164d4,ytb-Ublock-v3,2026-04-16 16:44:08.503245+02,570.4770390000000000,0,56783,0,0,0,0,144821369103,0,2344665,5607424,0,1122943,133255446
fc698c86-919b-4a50-a30b-0078f091f3a3,ytb-Ublock-v3,2026-04-16 17:09:20.499748+02,570.8003050000000000,0,53252,0,0,0,0,147372276428,0,2147752,4784128,0,860966,124030466
4a673f81-03ce-4c33-81f3-2036ff75a913,ytb-Ublock-v3,2026-04-16 17:33:11.078148+02,570.4374660000000000,0,55051,0,0,0,0,144572683727,0,2245521,4698112,0,749949,119174466
51ee8910-ccef-493f-b376-69399b81f298,ytb-Ublock-v3,2026-04-16 17:54:24.579259+02,570.7143860000000000,0,48184,0,0,0,0,132735736891,0,2073923,4055040,0,718959,109020441
16944d47-31ad-4bdc-863b-a8ea535bd8bb,ytb-Ublock-v3,2026-04-16 18:13:23.599656+02,570.4279720000000000,0,50112,0,0,0,0,134861510178,0,2237502,4403200,0,878942,115704460
da822a58-9ad7-43bf-adcf-8cafe2daa870,ytb-Ublock-v3,2026-04-16 18:37:39.749848+02,571.1602900000000000,0,56799,0,0,0,0,149938136132,0,2792724,6168576,0,429940,130160438
15af4c2f-8b21-45b5-a231-24336f669ae0,ytb-Ublock-v3,2026-04-16 19:19:57.175788+02,570.7467510000000000,0,62419,0,0,0,0,143659054635,0,8347645,5242880,0,1963682,588223487
1c199353-7098-4034-b47e-55db3fc40d79,ytb-Ublock-v3,2026-04-16 19:49:27.219209+02,570.1564890000000000,0,50359,0,0,0,0,137524668800,0,2391578,4268032,0,1250943,124046442
d71d2c40-5a9c-42bd-bcaf-80d5966be157,ytb-Ublock-v3,2026-04-16 20:09:05.092324+02,570.4424800000000000,0,51406,0,0,0,0,133114323967,0,2723694,4280320,0,962947,164703478
6dc14350-f91b-46a2-a770-50e472c6363b,ytb-Ublock-v3,2026-04-16 20:33:19.086498+02,570.3019780000000000,0,55360,0,0,0,0,142319498523,0,2190115,4689920,0,1223882,117959491
4394cd33-c578-4a18-80da-909c552e86c0,ytb-AdBlockPlus-v3,2026-04-16 20:57:30.707181+02,570.2417280000000000,0,63134,0,0,0,0,168367326928,0,2441693,5251072,0,511983,129629459
8dcee18e-16d5-4488-8023-2755059374e8,ytb-AdBlockPlus-v3,2026-04-16 21:22:28.595757+02,570.1855760000000000,0,49054,0,0,0,0,132220887718,0,1975578,4710400,0,1058956,105982431
2f6e9497-03b3-47b8-a2ce-43d570d13838,ytb-AdBlockPlus-v3,2026-04-16 21:41:31.756211+02,570.3733410000000000,0,49367,0,0,0,0,132905648416,0,2130842,11874304,0,442974,119248449
4ef26c9d-4d52-4f87-bcbd-73dfe69433c1,ytb-AdBlockPlus-v3,2026-04-16 22:00:21.423123+02,570.2519220000000000,0,70207,0,0,0,0,197062056002,0,2560381,6754304,0,412974,134913469
4611e197-e820-49e6-ba44-f99fa1106e16,ytb-AdBlockPlus-v3,2026-04-16 22:19:25.745484+02,571.1296020000000000,0,47978,0,0,0,0,132639718719,0,2022075,6549504,0,606976,108141472
263d7556-0c3c-411f-8519-3eeefe5a53ac,ytb-AdBlockPlus-v3,2026-04-16 22:38:23.566891+02,570.0232300000000000,0,50751,0,0,0,0,136309266779,0,2205150,5632000,0,805972,121725476
d090fd07-3edf-4012-8704-05cf5f69f623,ytb-AdBlockPlus-v3,2026-04-16 23:02:45.269837+02,570.3381170000000000,0,56786,0,0,0,0,105836370542,0,8343296,5156864,0,3152976,4159832354
2b76b542-59ba-4ec2-a54c-c9f8b0f480f5,ytb-AdBlockPlus-v3,2026-04-16 23:39:05.812652+02,569.6774200000000000,0,51673,0,0,0,0,130733379298,0,2840002,6975488,0,725974,502595456
cdfbd7e4-c2b4-43df-ac09-4e63e7213506,ytb-AdBlockPlus-v3,2026-04-17 00:07:45.820755+02,569.8066820000000000,0,48460,0,0,0,0,131142038669,0,2049981,4775936,0,505978,110305437
fb952238-a4da-439a-bdf7-8e8896b17efe,ytb-AdBlockPlus-v3,2026-04-17 09:04:21.151409+02,570.1299000000000000,0,49945,0,0,0,0,133925845886,0,2405804,6156288,0,907951,125900478
